--- Installing dependencies ---
Defaulting to user installation because normal site-packages is not writeable

[notice] A new release of pip is available: 24.2 -> 24.3.1
[notice] To update, run: pip install --upgrade pip
ERROR: Could not open requirements file: [Errno 2] No such file or directory: 'requirements.txt'
--- Running main.py ---
[I 2024-12-13 16:32:09,147] A new study created in memory with name: no-name-68aff836-4ebb-46e8-b381-88ab2cddf8c3
[I 2024-12-13 16:38:04,828] Trial 0 finished with value: -0.10750000178813934 and parameters: {'lr': 0.01, 'gamma': 0.9, 'max_grad_norm': 0.5, 'tau': 0.001}. Best is trial 0 with value: -0.10750000178813934.
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[I 2024-12-14 11:21:49,471] Trial 188 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 11:27:50,045] Trial 189 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 11:33:51,264] Trial 190 finished with value: -0.10116666555404663 and parameters: {'lr': 0.0001, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 11:39:53,177] Trial 191 finished with value: -0.09966666251420975 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 11:45:55,444] Trial 192 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 11:51:56,836] Trial 193 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 11:57:56,083] Trial 194 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 12:03:55,023] Trial 195 finished with value: -0.10266666114330292 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 12:09:55,323] Trial 196 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 12:15:56,664] Trial 197 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 12:21:56,820] Trial 198 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 0.5, 'tau': 0.01}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 12:27:56,625] Trial 199 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 12:33:56,097] Trial 200 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 1.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 12:39:55,489] Trial 201 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 12:45:55,605] Trial 202 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 12:51:56,466] Trial 203 finished with value: -0.10766666382551193 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 12:57:58,120] Trial 204 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 13:03:57,575] Trial 205 finished with value: -0.10000000894069672 and parameters: {'lr': 1e-05, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 13:09:56,465] Trial 206 finished with value: -0.11885000020265579 and parameters: {'lr': 0.01, 'gamma': 0.9, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 13:15:58,162] Trial 207 finished with value: -0.0989999920129776 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 13:22:18,730] Trial 208 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 13:28:39,823] Trial 209 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.0, 'tau': 0.001}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 13:34:57,115] Trial 210 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.95, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 13:40:58,594] Trial 211 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.001}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 13:47:00,840] Trial 212 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.001}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 13:53:04,538] Trial 213 finished with value: -0.10266666114330292 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.001}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 13:59:06,630] Trial 214 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.001}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 14:05:10,000] Trial 215 finished with value: -0.10633334517478943 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 14:11:11,151] Trial 216 finished with value: -0.10114999115467072 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.01}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 14:17:11,796] Trial 217 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 0.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 14:23:12,765] Trial 218 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 14:29:13,719] Trial 219 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 1.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 14:35:13,026] Trial 220 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 2.0, 'tau': 0.001}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 14:41:14,340] Trial 221 finished with value: -0.10916666686534882 and parameters: {'lr': 0.01, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 14:47:14,879] Trial 222 finished with value: -0.09433333575725555 and parameters: {'lr': 0.01, 'gamma': 0.95, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 14:53:18,262] Trial 223 finished with value: -0.10190000385046005 and parameters: {'lr': 0.01, 'gamma': 0.95, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 14:59:19,912] Trial 224 finished with value: -0.10783333331346512 and parameters: {'lr': 0.01, 'gamma': 0.95, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 15:05:20,417] Trial 225 finished with value: -0.10734999924898148 and parameters: {'lr': 0.01, 'gamma': 0.95, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 15:11:21,620] Trial 226 finished with value: -0.11533332616090775 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 15:17:20,308] Trial 227 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 15:23:21,322] Trial 228 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 15:29:22,531] Trial 229 finished with value: -0.10281665623188019 and parameters: {'lr': 0.0001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 15:35:25,444] Trial 230 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 15:41:28,260] Trial 231 finished with value: -0.10783333331346512 and parameters: {'lr': 0.01, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 15:47:30,193] Trial 232 finished with value: -0.10783333331346512 and parameters: {'lr': 0.01, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 15:53:33,677] Trial 233 finished with value: -0.09433333575725555 and parameters: {'lr': 0.01, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 15:59:35,025] Trial 234 finished with value: -0.09433333575725555 and parameters: {'lr': 0.01, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 16:05:36,434] Trial 235 finished with value: -0.10783333331346512 and parameters: {'lr': 0.01, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 16:11:37,332] Trial 236 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 16:17:36,222] Trial 237 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.95, 'max_grad_norm': 0.5, 'tau': 0.01}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 16:23:36,384] Trial 238 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 16:29:34,819] Trial 239 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
